爱心	ai4xin1	noun love; compassion; caring
安排	an1pai2	noun arrangement; plan; schedule; disposal  verb arrange (matters); plan in detail; dispose (manpower); fix up
安装	an1zhuang1	verb install; fix; mount; set up
按	an4	verb 1 press; push down 2 leave aside; shelve 3 restrain; control 4 keep one's hand on; grasp; grip  preposition according to; in accordance with; in the light of; on the basis of  noun comment or note (by an editor or author)  verb literary check; refer to
按照	an4zhao4	preposition according to; in accordance with; in the light of; on the basis of
把	ba3	noun 1 handle (of a pushcart, etc.) 2 bundle; bunch  verb 1 hold; grasp 2 hold (a baby while it urinates) 3 control; monopolize; dominate 4 guard; watch 5 colloquial close to; be located at 6 colloquial give  measure word 1 [for sth. with a handle] 2 handful of 3 [for certain abstract concepts] 4 [for sth. done with the hand]  preposition [used to shift the object ahead of the verb, which must be reduplicated or accompanied by some other word or expression]  auxiliary [after 百, 千, 万, 里, 丈, 顷, 斤, 个, etc., without numeral] about; or so  adjective dated sworn
把握	ba3wo4	noun assurance; certainty  verb hold; grasp
白	bai2	adjective 1 white (opp. 黑) 2 clear 3 pure; plain; blank 4 White (as a symbol of political reaction) 5 wrongly written or mispronounced 6 funeral  adverb 1 in vain; to no purpose; for nothing 2 free of charge; gratis  noun 1 spoken part in opera, etc. 2 dialect 3 (Bái) a surname
白菜	bai2cai4	noun Chinese cabbage; Napa cabbage
班级	ban1ji2	noun classes and grades in school
搬	ban1	verb 1 take away; move; remove 2 move (house) 3 apply indiscriminately; copy mechanically
搬家	ban1//jia1	verb 1 move (house) 2 remove; move
板	ban3	noun 1 board; plank; plate 2 shutter 3 sports bat 4 music clappers 5 tempo in traditional Chinese music; time; measure  verb stop smiling; look serious  adjective 1 hard 2 stiff; unnatural  measure word a card of; a paper of  meaningful bound form
办理	ban4li3	verb handle; conduct; transact
保	bao3	verb 1 protect; defend 2 keep; maintain; preserve 3 guarantee; ensure; insure 4 stand guarantor (or surety) for sb.; bail  noun guarantor  noun history former administrative system organized on the basis of households, each Bao being made up of 10 Jia (甲)
保安	bao3an1	noun colloquial (usu. nonmilitary, unarmed) security guard  verb secure; keep safe
保持	bao3chi2	verb keep; maintain; preserve
保存	bao3cun2	verb preserve; conserve; keep
保护	bao3hu4	verb protect; safeguard  noun protection; safeguarding
保留	bao3liu2	verb 1 continue to have; retain 2 hold (or keep) back; reserve
保险	bao3xian3	verb (-//-) insure  noun insurance  adjective safe
保证	bao3zheng4	verb pledge; guarantee; assure; ensure  noun pledge; assurance
报	bao4	verb 1 report; announce; declare 2 reply; respond; reciprocate 3 recompense; requite 4 revenge  noun 1 newspaper 2 periodical; journal 3 bulletin; report 4 telegram; cable 5 retribution; judgment
报到	bao4//dao4	verb report for duty; check in; register; sign in
报道	bao4dao4	verb report (news); cover  noun news report; story
报告	bao4gao4	noun report; speech; talk; lecture  verb report; make known
背	bei4	noun 1 the back of the body 2 the back of an object  verb 1 turn away (opp. 向) 2 leave; go away 3 hide sth. from; do sth. behind sb.'s back 4 recite from memory; learn by heart (or by rote) 5 act contrary to; violate; break  adjective 1 out-of-the-way 2 colloquial unlucky 3 hard of hearing  preposition with the back towards
北部	bei3bu4	northern part
背后	bei4hou4	noun behind; back; rear  adverb behind sb.'s back
