// HSK 3.0/Level 5
安慰	an1wei4	to comfort; to console
岸	an4	bank; shore; beach; coast
岸上	an4shang4	1 ashore 2 on the riverbank
按摩	an4mo2	1 massage 2 to massage
拔	ba2	1 to pull up 2 to pull out 3 to draw out by suction 4 to select 5 to pick 6 to stand out (above level) 7 to surpass 8 to seize
白酒	bai2jiu3	1 baijiu, a spirit usually distilled from sorghum 2 (Tw) white wine (abbr. for 白葡萄酒báipútaojiǔ [白葡萄酒])
拜访	bai4fang3	to pay a visit; to call on
版	ban3	1 a register 2 block of printing 3 edition 4 version 5 page
扮演	ban4yan3	1 to play the role of 2 to act
棒	bang4	1 stick 2 club 3 cudgel 4 smart 5 capable 6 strong 7 wonderful 8 classifier for legs of a relay race
包围	bao1wei2	1 to surround 2 to encircle 3 to hem in
包装	bao1zhuang1	1 to pack 2 to package 3 to wrap 4 packaging
保卫	bao3wei4	1 to defend 2 to safeguard
保养	bao3yang3	1 to take good care of (or conserve) one's health 2 to keep in good repair 3 to maintain 4 maintenance
报答	bao4da2	1 to repay 2 to requite
报警	bao4jing3	1 to sound an alarm 2 to report sth to the police
抱怨	bao4yuan4	1 to complain 2 to grumble 3 to harbor a complaint 4 to feel dissatisfied
背包	bei1bao1	1 knapsack 2 rucksack 3 infantry pack 4 field pack 5 blanket roll M: 个gè [个]
悲剧	bei1ju4	tragedy M: 出chū [出]
悲伤	bei1shang1	sad; sorrowful
北极	bei3ji2	1 the North Pole; the Arctic Pole 2 the north magnetic pole
被动	bei4dong4	passive
辈	bei4	1 lifetime 2 generation 3 group of people 4 class 5 classifier for generations 6 (literary) classifier for people
本人	ben3ren2	1 I; me; myself 2 oneself; yourself; himself; herself; the person concerned
鼻子	bi2zi5	nose M: 个gè [个] / 只zhī [只]
比方	bi3fang5	1 analogy 2 instance 3 for instance
比重	bi3zhong4	1 proportion 2 specific gravity
彼此	bi3ci3	each other; one another
必	bi4	1 certainly 2 must 3 will 4 necessarily
必需	bi4xu1	1 to need 2 to require 3 essential 4 indispensable
毕竟	bi4jing4	1 after all 2 all in all 3 when all is said and done 4 in the final analysis
闭幕	bi4mu4	1 the curtain falls 2 lower the curtain 3 to come to an end (of a meeting)
闭幕式	bi4mu4shi4	closing ceremony
边境	bian1jing4	frontier; border
编辑	bian1ji2	1 to edit 2 to compile 3 editor 4 compiler
变动	bian4dong4	1 to change 2 to fluctuate 3 change 4 fluctuation
便利	bian4li4	1 convenient 2 easy 3 to facilitate
便条	bian4tiao2	(informal) note M: 张zhāng [张] / 个gè [个]
便于	bian4yu2	easy to; convenient for
宾馆	bin1guan3	1 guesthouse 2 lodge 3 hotel M: 个gè [个] / 家jiā [家]
饼	bing3	1 round flat cake 2 cookie 3 cake 4 pastry M: 张zhāng [张]
