// HSK 3.0/Level 6
挨着	ai1zhe5	near
挨	ai1	1 in order; in sequence 2 close to; adjacent to
挨打	ai2da3	1 to take a beating 2 to get thrashed 3 to come under attack
安检	an1jian3	1 security check (abbr. for 安全检查ānquánjiǎnchá [安全检查]) 2 to do a security check
罢工	ba4gong1	1 a strike 2 to go on strike
罢了	ba4le5	a modal particle indicating (that's all, only, nothing much)
白领	bai2ling3	1 white-collar 2 white-collar worker
百分点	bai3fen1dian3	percentage point
办公	ban4gong1	to handle official business (usu. in an office); to do (office) work
办事处	ban4shi4chu4	office; agency; bureau
办学	ban4xue2	to run a school
半决赛	ban4jue2sai4	semifinals
傍晚	bang4wan3	1 in the evening 2 when night falls 3 towards evening 4 at night fall 5 at dusk
保健	bao3jian4	1 health protection 2 health care 3 to maintain in good health
报刊	bao4kan1	1 newspapers and periodicals 2 the press
报考	bao4kao3	to enter oneself for an examination
抱歉	bao4qian4	1 to be sorry 2 to feel apologetic 3 sorry!
暴风雨	bao4feng1yu3	1 rainstorm 2 storm 3 tempest
暴力	bao4li4	1 violence 2 force 3 violent
暴露	bao4lu4	1 to expose 2 to reveal 3 to lay bare 4 also pr. [pùlù]
暴雨	bao4yu3	1 torrential rain 2 rainstorm M: 场cháng [场] / 阵zhèn [阵]
爆	bao4	1 to explode or burst 2 to quick fry or quick boil
爆发	bao4fa1	1 to break out 2 to erupt 3 to explode 4 to burst out
爆炸	bao4zha4	1 explosion 2 to explode 3 to blow up 4 to detonate
悲惨	bei1can3	1 miserable 2 tragic
背心	bei4xin1	sleeveless garment (vest, waistcoat, singlet, tank top etc) M: 件jiàn [件]
背着	bei1zhe5	carrying on one's back
被告	bei4gao4	(law) the defendant; the accused
奔跑	ben1pao3	to run
本	ben3	1 (bound form) root; stem 2 (bound form) origin; source 3 (bound form) one's own; this 4 (bound form) this; the current (year etc) 5 (bound form) original 6 (bound form) inherent 7 originally; initially 8 capital; principal 9 classifier for books, periodicals, files etc
本地	ben3di4	1 local 2 this locality
本期	ben3qi1	1 the current period 2 this term (usually in finance)
本身	ben3shen1	1 itself 2 in itself 3 per se
本土	ben3tu3	1 one's native country 2 native 3 local 4 metropolitan territory
本质	ben3zhi4	1 essence 2 nature 3 innate character 4 intrinsic quality
逼	bi1	1 variant of 逼bī [逼] 2 to compel 3 to pressure
笔试	bi3shi4	1 written examination 2 paper test (for an applicant)
必将	bi4jiang1	inevitably
必修	bi4xiu1	1 (of an academic course) required 2 compulsory
闭	bi4	1 to close 2 to stop up 3 to shut 4 to obstruct
边缘	bian1yuan2	1 edge; fringe; verge; brink; periphery 2 marginal; borderline
编制	bian1zhi4	1 to establish (a unit or department) 2 authorized staffing allocation in government or public institutions (excluding temporary or contract staff)
扁	bian3	1 flat 2 (coll.) to beat (sb) up 3 old variant of 匾biǎn [匾]
变更	bian4geng1	1 to change 2 to alter 3 to modify
变换	bian4huan4	1 to transform 2 to convert 3 to vary 4 to alternate 5 a transformation
变形	bian4xing2	to become deformed; to change shape; to morph
便	bian4	1 plain 2 informal 3 suitable 4 convenient 5 opportune 6 to urinate or defecate 7 equivalent to 就jiù [就]: then 8 in that case 9 even if 10 soon afterwards
便是	bian4shi4	1 (emphasizes that sth is precisely or exactly as stated) 2 precisely 3 exactly 4 even 5 if 6 just like 7 in the same way as
遍地	bian4di4	1 everywhere 2 all over
表面上	biao3mian4shang5	outwardly; superficially; on the face of it
病房	bing4fang2	1 ward (of a hospital) 2 sickroom M: 间jiān [间]
病情	bing4qing2	1 state of an illness 2 patient's condition
拨打	bo1da3	1 to call 2 to dial
波动	bo1dong4	1 to undulate 2 to fluctuate 3 wave motion 4 rise and fall
波浪	bo1lang4	wave
播	bo1	1 (bound form) to sow (seeds); to spread (ideas, rumors etc); to broadcast (radio signals etc) 2 Taiwan pr. [bò]
不便	bu4bian4	1 inconvenient 2 inappropriate 3 unsuitable 4 short of cash
不见	bu4jian4	1 not to see 2 not to meet 3 to have disappeared 4 to be missing
不料	bu4liao4	1 unexpectedly 2 to one's surprise
不再	bu4zai4	no more; no longer
不至于	bu4zhi4yu2	unlikely to go so far as to; not as bad as
补考	bu3kao3	1 to sit for a makeup exam 2 to resit an exam 3 makeup exam 4 resit
补课	bu3ke4	1 to make up missed lesson 2 to reschedule a class
补习	bu3xi2	to take extra lessons in a cram school or with a private tutor
补助	bu3zhu4	1 to subsidize 2 subsidy 3 allowance
捕	bu3	to catch; to seize; to capture
不成	bu4cheng2	1 won't do 2 unable to 3 (at the end of a rhetorical question) can that be?
不禁	bu4jin1	1 can't help (doing sth) 2 can't refrain from
不仅仅	bu4jin3jin3	not only; not just
不通	bu4tong1	1 to be obstructed 2 to be blocked up 3 to be impassable 4 to make no sense 5 to be illogical
不怎么	bu4zen3me5	1 not very 2 not particularly
不怎么样	bu4zen3me5yang4	1 not up to much 2 very indifferent 3 nothing great about it 4 nothing good to be said about it
不值	bu4zhi2	not worth
布满	bu4man3	1 to be covered with 2 to be filled with
部队	bu4dui4	1 army 2 armed forces 3 troops 4 force 5 unit M: 个gè [个]
采纳	cai3na4	1 to accept 2 to adopt
踩	cai3	1 to step on 2 to tread 3 to stamp 4 to press a pedal 5 to pedal (a bike) 6 (online) to downvote
参赛	can1sai4	1 to compete 2 to take part in a competition
