// HSK 3.0/Level 7-9
阿拉伯语	A1la1bo2yu3	Arabic (language)
哎	ai1	1 hey! 2 (interjection used to attract attention or to express surprise or disapprobation)
哎呀	ai1ya1	interjection of wonder, shock or admiration
哀求	ai1qiu2	1 to entreat 2 to implore 3 to plead
挨家挨户	ai1jia1ai1hu4	to go from house to house
癌	ai2	cancer; (esp.) carcinoma
癌症	ai2zheng4	cancer
艾滋病	ai4zi1bing4	(loanword) AIDS
唉	ai1	1 interjection or grunt of agreement or recognition (e.g. yes, it's me!) 2 to sigh
爱不释手	ai4bu4shi4shou3	(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible
爱理不理	ai4li3bu4li3	(idiom) standoffish; indifferent
爱面子	ai4mian4zi5	to like to look good in the eyes of others; sensitive about how one is regarded by others; proud
爱惜	ai4xi1	1 to cherish 2 to treasure 3 to use sparingly
碍事	ai4shi4	1 to be in the way; to be a hindrance 2 (usu. in the negative) to be of consequence; to matter
安定	an1ding4	1 stable; calm; settled 2 to stabilize 3 Valium; diazepam
安抚	an1fu3	1 to placate 2 to pacify 3 to appease
安眠药	an1mian2yao4	sleeping pill M: 粒lì [粒]
安宁	an1ning2	1 peaceful 2 tranquil 3 calm 4 composed 5 free from worry
安稳	an1wen3	steady; stable; sedate; calm; (of sleep) sound; (of a transition) smooth
安心	an1xin1	1 at ease 2 to feel relieved 3 to set one's mind at rest 4 to keep one's mind on sth
安逸	an1yi4	1 easy and comfortable 2 easy
按键	an4jian4	1 button or key (on a device) 2 keystroke M: 个gè [个] 3 to press a button
按理说	an4li3shuo1	it is reasonable to say that...
按说	an4shuo1	in the ordinary course of events; ordinarily; normally
案件	an4jian4	1 case 2 instance M: 宗zōng [宗] / 桩zhuāng [桩] / 起qǐ [起]
暗地里	an4di4li5	secretly; inwardly; on the sly
暗杀	an4sha1	to assassinate
暗中	an4zhong1	1 in the dark 2 in secret 3 on the sly 4 surreptitiously
昂贵	ang2gui4	1 expensive 2 costly
凹	ao1	concave; depressed; sunken; indented; female (connector etc)
熬	ao2	1 to cook on a slow fire; to extract by heating; to decoct 2 to endure
熬夜	ao2ye4	to stay up late or all night
